,A/Switzerland/9715293/2013,A/Hong_Kong/4801/2014,A/Texas/50/2012,A/Victoria/361/2011(Ivr-165),A/Newcastle/67/2016,A/Estonia/91621/2015,A/Utah/11/2011,A/Gambia/G0071436/2012,A/Hanoi/Eli15597/2015,A/Heilongjiang-Xiangyang/1134/2011,A/Perth/16/2009nib-64,A/Tasmania/1018/2015,A/Alaska/251/2015,A/Singapore/Infimh-16-0019/2016,A/Kansas/ 14/2017,A/Wisconsin/16/2015,A/Hong_Kong/3089/2017,A/Nagano/2153/2017,A/Sweden/3/2017,A/Moramanga/1907/2017,A/Helsinki/823/2013,A/Helsinki/941/2013,A/Ohio/13/2017,A/Ohio/62/2012,A/Ontario/Rv3236/2016,A/Indiana/08/2011,A/Minnesota/11/2010
A/Stockholm/32/2014,15543.00412,17213.07443,10409.2772,1576.342029,4548.262049,13131.26289,1399.272675,8461.229094,5695.907635,1789.69652,4675.698154,3748.542483,2666.229989,2413.386141,6158.730609,382.8698387,2414.746648,1872.776223,1135.250982,1624.46542,344.4525041,2120.139303,1263.226698,3398.057947,690.7537529,115.694981,635.2980471
A/Switzerland/9715293/2013,9333.045554,6833.4956,10301.64602,2442.298805,1489.753212,5530.388566,1460.620995,3489.875849,5253.83718,1510.906101,1899.644609,1649.875734,1850.724285,1291.624874,1575.287533,939.6460227,1097.810055,210.4667708,514.9304126,460.1273633,160.1885971,706.3691397,422.8217895,1072.500495,354.5052116,227.5111067,302.4771578
A/Hong_Kong/4801/2014,7527.50963,10566.39686,14982.9754,2559.061719,4579.38889,7944.527141,3590.324213,7064.988279,4798.288048,1971.202685,2522.937592,3842.200726,2572.880555,636.4989222,3448.458503,780.7200065,1312.115552,30.79743611,178.5724491,231.7431969,55.51122351,229.8668914,221.3713564,143.037911,122.2086571,93.40674634,307.1983261
A/Paris/2379/2014,11875.89703,26660.63531,19335.43644,2471.740487,3257.275803,8292.312169,4992.723747,2931.865416,2644.100759,1850.053273,2131.657163,3350.093775,2953.739329,1335.52656,2174.326297,1151.598521,1627.4409,42.00476429,1634.665003,719.3253205,981.4139395,1299.294817,1281.332273,1695.521351,1497.01244,867.2191849,1483.813678
A/Texas/50/2012,10751.28709,10397.63135,8843.480331,2089.598365,740.8891989,3820.97279,902.0514224,1519.145582,1453.050943,1112.889226,2506.541217,835.7635447,1232.10951,436.7599065,521.6742874,556.2589228,462.6549804,17.21775446,242.4915695,288.4995204,53.24760844,656.4471035,73.02403434,295.0105596,482.3697474,16.226253,149.5583836
A/Stockholm/14/2012,25448.04034,26812.27271,24889.57042,4914.005487,4832.355687,16886.41687,6966.238422,2943.080163,4333.726643,12971.06027,12430.68208,2677.6235,4616.836709,2033.874555,3726.920476,2821.168941,2940.519154,85.02200065,748.0271432,1081.248115,285.0697025,2014.187762,613.4718049,2795.104704,758.5844042,796.1425102,1337.43708
A/Tehran/996/2012,18329.7896,15922.99473,19671.80806,8082.119236,4968.122136,4207.739806,6970.918848,5141.678811,8365.464958,4833.608553,10015.28097,2896.477638,5418.930932,892.0205587,2496.848592,3696.078107,747.6275877,146.1263068,2181.215807,1136.810832,560.105335,1292.696715,836.6966365,1380.337147,539.4561957,199.3432357,446.1480675
A/Victoria/361/2011(Ivr-165),16804.70168,11568.33459,11892.00044,3863.68968,1868.935521,3480.374926,2250.025215,670.915209,3963.315765,1379.110857,2888.706095,883.0705176,1890.508399,568.1822623,3349.820666,1881.085405,1227.349308,108.5270035,293.7992853,407.6945784,79.325095,1203.008175,290.1446699,561.011217,793.7629053,125.4155062,393.1072396
A/Newcastle/67/2016,7647.167629,9702.615168,5243.996661,1056.938611,4218.830051,2295.880289,5476.988544,821.2204126,1515.9194,1254.336406,1304.014495,1253.099578,836.0952166,192.5910784,446.0965424,246.355351,411.3101071,18.46507145,75.52543687,126.3468281,206.7819938,259.5209701,893.7400436,1552.957407,1089.843692,13.50379978,1619.451492
A/Estonia/91621/2015,1277.124123,1379.483416,911.0697166,387.1327228,290.4566824,2832.851683,277.9280318,335.337998,225.5566726,272.4726939,193.2944286,217.2108687,70.94839882,133.6358161,1394.952929,137.4613609,252.1531222,10,78.50943694,12.94967333,112.5839393,76.34504435,96.17818359,268.3788452,110.6404963,38.6643741,86.06967951
A/Ankara/2396/2015(88),3284.440234,3930.360318,1987.590328,570.5349322,686.460966,5821.384687,590.8344868,357.5802498,362.2461588,384.6763347,391.5383563,997.0629056,251.9444776,142.9215501,786.5798744,253.5792094,291.0193661,20.85636768,160.4314833,42.6063618,33.52566828,91.44067818,64.82068898,145.3820628,193.3273563,113.2584603,152.1332429
A/Stockholm/15/2014,759.3822351,607.1619547,665.6582724,750.2371767,172.8722229,374.0186867,265.8985886,241.491789,319.0975528,213.7802834,190.7428552,38.82554486,96.40196463,79.99021892,954.1266697,210.8759805,119.7135794,12.52887699,10,88.58667938,10,112.1887837,108.3793909,428.8744067,160.4347861,20.1240759,66.9268869
